German,Turkish
Ich,BEN
ist,dır-dir
ich,BEN
nicht,Olumsuz
Sie,O
du,Sen
das,.
die,.
es,BT
und,Ve
der,.
zu,ile
sie,o
Das,.
ein,A
in,içinde
wir,Biz
Du,Sen
mir,Ben
mit,ile
Was,Ne
den,.
mich,Ben
was,Ne
auf,Açık
dass,O
er,O
eine,bir
Es,BT
hat,sahip olmak
Wir,Biz
Und,Ve
so,Bu yüzden
sind,var olan
von,itibaren
dich,Sen
war,olmuş
haben,sahip olmak
für,için
Ja,Evet
hier,Burada
an,-den
habe,sahip olmak
Er,O
bin,Ben
wie,Nasıl
noch,Hala
dir,Sen
uns,biz
sich,kendisi
Die,.
nur,sadece
einen,A
Nein,HAYIR
dem,Dem
ihn,o
auch,Ayrıca
hast,sahip olmak
sein,olmak
ihr,o
da,Orası
aus,dışında
kann,olabilmek
aber,Ancak
Aber,Ancak
schon,çoktan
wenn,eğer
wird,hale gelmek
um,etrafında
Wie,Nasıl
als,gibi
bist,var olan
im,içinde
mal,Sadece
doch,Ancak
gut,iyi
meine,bana ait
jetzt,Şimdi
weiß,beyaz
Wenn,Eğer
werden,haline gelmek
Der,.
nach,sonrasında
ja,Evet
Oh,Ah
oder,veya
dann,Daha sonra
will,istek
mein,Benim
mehr,Daha
keine,HAYIR
etwas,bir şey
alles,her şey
muss,mutlak
immer,Her zaman
nichts,Hiçbir şey
man,Adam
wieder,Tekrar
bei,-den
hab,sahip olmak
machen,yapmak
vor,önce
Mann,Adam
ihm,o
einem,A
tun,Yapmak
zum,için
können,olabilmek
sagen,söylemek
werde,haline gelmek
denn,Çünkü
Ist,Dır-dir
Ein,A
Warum,Neden
einer,bir
gehen,Gitmek
sehen,Görmek
sehr,çok
geht,gitmek
alle,Tümü
über,üstünde
müssen,mutlak
diese,Bu
einfach,basitçe
euch,Sen
des,ile ilgili
nie,Asla
Also,Bu yüzden
Wo,Nerede
los,Hadi
Zeit,Zaman
Ihnen,Onlara
gibt,vermek
wirklich,Gerçekten
Hey,Hey
Danke,Teşekkürler
deine,senin
würde,istemek
soll,meli
Da,Orada
hatte,vardı
Hier,Burada
wissen,bilgi
bitte,Lütfen
viel,fazla
Dann,Daha sonra
So,Bu yüzden
gesagt,söz konusu
Ihr,O
am,-den
kein,HAYIR
Komm,Gelmek
Wer,DSÖ
zurück,geri
wurde,olmuş
In,İçinde
wollte,aranan
Frau,Kadın
Leben,Hayat
wäre,olmuş
wo,Neresi
damit,Bununla
Nicht,Olumsuz
Gott,Tanrı
Leute,İnsanlar
kannst,olabilmek
heute,Bugün
meinen,Anlam
dieser,Bu
dein,senin
kommt,gelir
kommen,Gelmek
willst,istek
Na,N/A
wollen,istek
sicher,güvenli
ganz,epeyce
Jetzt,Şimdi
Mein,Benim
Mr,Bay
also,Bu yüzden
zur,ile
Hast,Sahip olmak
Gut,İyi
hätte,olurdu
weil,Çünkü
tut,yapmak
Hallo,Merhaba
Okay,TAMAM
macht,belki
waren,olmuş
bis,değin
Vielleicht,Belki
könnte,abilir
Eine,Bir
Bitte,Lütfen
weg,uzak
seine,onun
lassen,izin vermek
Vater,Baba
gesehen,görülen
Nun,Kuyu
gerade,dümdüz
Alles,Her şey
glaube,inanmak
Tag,Gün
ab,uzak
Geld,Para
gemacht,yapılmış
nein,HAYIR
Sir,Sayın
sollte,meli
sagte,söz konusu
keinen,HAYIR
durch,başından sonuna kadar
zwei,iki
diesen,Bu
passiert,olmuş
wohl,muhtemelen
vielleicht,belki
ihre,o
Mutter,Anne
reden,konuşmak
anderen,diğerleri
dachte,düşünce
daß,O
möchte,istek
wirst,haline gelmek
gehört,duyulmuş
weißt,beyaz
Keine,HAYIR
raus,dışarı
Meine,Bana ait
paar,çift
besser,daha iyi
ob,eğer
her,itibaren
musst,mutlak
Ordnung,Emir
meiner,bana ait
klar,temizlemek
ihnen,onlara
Los,Hadi
diesem,Bu
meinem,Benim
lange,uzun
Lass,İzin vermek
dieses,Bu
helfen,yardım
unsere,bizim
Weg,Uzak
selbst,kendisi
Nur,Sadece
finden,bulmak
Mal,Sadece
jemand,birisi
denke,düşünmek
Ach,Ah
Nacht,Gece
genau,Kesinlikle
gar,eşit
sagt,diyor
Welt,Dünya
Auf,Açık
Mädchen,Kız
ins,içine
hin,Orası
vom,ondan
schön,Güzel
warum,Neden
weiter,daha öte
Leid,Üzüntü
gleich,eşit
wer,DSÖ
Man,Adam
ohne,olmadan
Menschen,İnsanlar
deinen,seninki
leid,üzüntü
Wieso,Nasıl olur
dort,Orası
Als,Gibi
Hause,Ev
sollten,meli
davon,bu
zusammen,birlikte
geben,vermek
Ok,TAMAM
Hör,Dinleme
machst,Yapmak
Freund,Arkadaş
richtig,doğru
Angst,Korku
Bist,Var olan
Tut,Yapmak
Mit,İle
viele,birçok
sieht,görüyor
Haus,Ev
tot,ölü
sollen,meli
ganze,tüm
andere,diğer
getan,yaptı
okay,TAMAM
rein,saf
Diese,Bu
Moment,an
bleiben,geriye kalmak
brauchen,ihtiyaç
Weil,Çünkü
Kinder,Çocuklar
unter,altında
Arbeit,İş
Für,İçin
Problem,sorun
dafür,bunun için
Herr,Bay
Haben,Sahip olmak
wegen,yüzünden
geht's,Bu mümkün mü
liebe,Aşk
genug,yeterli
dabei,dahil
bringen,getirmek
Ihre,O
ne,NE
gegen,aykırı
Weißt,Beyaz
Sag,söylemek
schnell,hızlı
nun,Bu yüzden
eines,bir
brauche,ihtiyaç
Abend,Akşam
hatten,vardı
Jahre,Yıllar
Mach,Yapmak
Bruder,Erkek kardeş
Sache,Konu
hören,duymak
komm,Gelmek
Sohn,Oğul
seit,o zamandan beri
Morgen,Sabah
drei,üç
steht,Standlar
Scheiße,Kahretsin
mag,beğenmek
sei,olmak
unser,bizim
konnte,abilir
habt,sahip olmak
Oder,Veya
einmal,bir kere
heißt,denir
OK,TAMAM
Willst,İstek
Kopf,KAFA
Hilfe,Yardım
Familie,Aile
Geh,Yürümek
Baby,bebek
Dich,Sen
Sind,Var olan
erst,Birinci
fertig,tamamlamak
gefunden,kurmak
seid,var olan
kam,gelmek
nehmen,almak
morgen,Sabah
sprechen,konuşmak
Mir,Ben
sofort,hemen
Kann,Olabilmek
Hat,Sahip olmak
Jahren,Yıllar
Kind,çocuk
seinen,onun
Genau,Kesinlikle
daran,ona
Junge,Erkek çocuk
Minuten,Dakika
bevor,önce
Stadt,Şehir
beim,-den
sterben,ölmek
warst,varlıklar
Recht,Sağ
glauben,inanmak
Warte,Beklemek
darüber,bu konuda
deiner,seninki
deinem,seninki
Ende,Son
He,Hey
Dinge,Şeyler
Namen,İsimler
wahr,doğru
Alle,Tüm
allein,yalnız
Natürlich,Doğal olarak
töten,öldürmek
Nichts,Hiç bir şey
Wirklich,Gerçekten
bekommen,almak
Männer,Erkekler
vergessen,unutmak
Doch,Ancak
dazu,Ek olarak
gab,verilmiş
später,Daha sonra
wusste,bilen
Augen,Gözler
Dank,Sayesinde
Freunde,Arkadaşlar
Jungs,Çocuklar
halten,tutmak
warten,Beklemek
Glück,Şans
beide,ikisi birden
gute,iyi
Dein,Senin
kennen,Bilmek
Deine,Senin
n,N
Hi,MERHABA
Dr,Dr.
Auto,otomobil
sage,efsane
gehe,Gitmek
komme,Gelmek
Dir,Sen
mache,yapmak
Von,İtibaren
Uhr,Saat
sehe,Görmek
Teufel,Şeytan
sonst,aksi takdirde
Art,Tür
gern,memnuniyetle
Liebe,Aşk
jeden,Her
könnten,belki
ihren,senin
Halt,Durmak
Fall,dava
Dad,Baba
Film,Film
bisschen,biraz
eigentlich,Aslında
weit,uzak
mach,yapmak
Gib,Vermek
vorbei,üzerinde
verstehe,anlamak
danke,Teşekkürler
drin,içinde
Im,İçinde
Name,Soyadı
ganzen,bütün
Musik,Müzik
würden,istemek
Tür,kapı
verrückt,deli
solltest,meli
denken,düşünmek
Noch,Hala
dran,senin sıran
Sieh,Görmek
lieber,Canım
Den,.
leben,hayat
Guten,İyi
Um,Etrafında
darauf,üstünde
Kein,HAYIR
stimmt,doğru
Kerl,Adam
letzte,son
Job,iş
verloren,kayıp
wurden,olmuş
kenne,Bilmek
Ahnung,Fikir
seiner,onun
Grund,Sebep
toll,Harika
Bis,Değin
Verdammt,Lanet olası
bald,yakında
bereit,hazır
all,Alet
jemanden,birisi
hinter,arka
Schon,Çoktan
Sehr,Çok
Hand,el
darf,mayıs
Dieser,Bu
Frauen,Kadınlar
Euch,Sen
Idee,fikir
runter,aşağı
Macht,Güç
draußen,dıştan
lang,uzun
Land,ülke
lass,izin vermek
Typ,Tip
hätten,sahip olmak
egal,Önemli değil
arbeiten,iş
spät,geç
stehen,durmak
ok,TAMAM
Gute,İyi
gekommen,gelmek
Bei,-Den
etwa,yaklaşık olarak
essen,yemek yemek
kleine,küçük
jeder,herkes
Schwester,Kız kardeş
Wasser,su
spielen,oynamak
Geschichte,Hikaye
seinem,onun
liegt,yalanlar
sah,testere
Mom,Anne
Seite,Sayfa
wenig,bir kaç
ruhig,sessizlik
Frage,Sormak
meinst,Anlam
überhaupt,hiç
fahren,sürmek
Ganz,Epeyce
Gehen,Gitmek
Essen,Yemek yemek
Ruhe,Sessizlik
echt,Gerçekten
versucht,sınanmış
Tochter,Kız çocuğu
Kommt,Gelir
Einen,A
ging,gitmiş
Jahr,Yıl
braucht,ihtiyaç
fast,neredeyse
neue,yeni
geh,yürümek
ziemlich,epeyce
anders,farklı
siehst,Görmek
Polizei,polis
Stunden,Saat
musste,zorunda
Spiel,Oyun
gewesen,olmuştur
gerne,memnuniyetle
finde,bulmak
erzählt,söylenmiş
Tod,Ölüm
Ort,Konum
Chance,şans
bedeutet,araç
War,Olmuş
sag,söylemek
sagst,söylemek
fragen,soru
letzten,son
sogar,eşit
ersten,Birinci
Sachen,Şeyler
Wahrheit,Gerçek
einzige,sadece
kurz,kısa
denen,kime
Kommen,Gelmek
Spaß,Eğlence
Nach,Sonrasında
oben,üstünde
Mama,mumya
schwer,zor
Schule,Okul
je,durmadan
eben,eşit
Gesicht,Yüz
bestimmt,kesinlikle
treffen,tanışmak
niemand,hiç kimse
Woche,Hafta
Entschuldigung,Affedersin
Sorgen,Bakımını yapmak
warte,Beklemek
natürlich,doğal olarak
schlecht,kötü
große,boyut
getötet,öldürülmüş
verstehen,anlamak
hoffe,umut
Ah,Uh
Sei,Olmak
Zimmer,Oda
hoch,yüksek
unserer,bizim
Tage,Günler
Teil,Parça
Wann,Ne zaman
suchen,aramak
verlassen,ayrılmak
zeigen,göstermek
wollten,yapmayı istedi
lässt,yapraklar
Wort,Kelime
eins,bir
zwischen,arasında
Woher,Nereden
Schatz,Hazine
Wissen,Bilmek
versuchen,girişim
Können,Olabilmek
Kannst,Olabilmek
nett,tür
Zu,İle
kriegen,elde etmek
Geht,Gitmek
Arsch,eşek
kleinen,küçük
Hab,Sahip olmak
weiss,beyaz
erste,Birinci
läuft,koşma
kommst,Gelmek
Freundin,Kız arkadaşı
Mensch,Kişi
beiden,ikisi birden
Ding,şey
niemals,Asla
endlich,Sonunda
Nimm,almak
muß,mutlak
gehst,yürüme
Heute,Bugün
denkst,düşünme
Herz,Kalp
Waffe,silah
Soll,Meli
tust,tust
Dollar,dolar
nehme,almak
Schau,Bakmak
holen,gidip getirmek
oft,sıklıkla
drauf,üstünde
anderes,diğer
Niemand,Hiç kimse
unten,altında
Wagen,Cesaret etmek
Yeah,Evet
Schön,Güzel
wichtig,önemli
Mrs,BAYAN
hättest,olurdu
allen,Tümü
Miss,Kayıp
ihrer,onların
gedacht,düşünce
Nummer,sayı
würdest,istemek
erzählen,söylemek
bleibt,kalıntılar
Auch,Ayrıca
Hände,eller
Blut,kan
Sehen,Görmek
bloß,Sadece
recht,Sağ
bringt,getiriyor
Bett,Yatak
Lassen,İzin vermek
Eltern,Ebeveynler
gefällt,mazeret
Schuld,Arıza
eure,senin
Plan,plan
Krieg,Savaş
neuen,yeni
Klar,Temizlemek
retten,kurtarmak
guter,mal
während,sırasında
ihrem,onunki
wären,olmak
Fehler,Hata
scheint,görünmek
Lasst,Yapraklar
gegeben,verilen
An,-Den
hör,dinleme
glücklich,mutlu
verdammt,lanet olası
alt,eskimiş
Platz,Yer
darum,Öyleyse
Vielen,Birçok
falsch,yanlış
unseren,bizim
schlafen,uyumak
Sagen,Söylemek
nächsten,Sonraki
fünf,beş
frei,özgür
Sorge,Endişe
Vor,Önce
fest,sıkıca
bereits,çoktan
alleine,yalnız
Denn,Çünkü
Zwei,İki
Fragen,Soru
möglich,olası
irgendwie,bir şekilde
Papa,baba
lernen,öğrenmek
gestern,Dün
hierher,Burada
Schiff,Gemi
vier,dört
irgendwas,herhangi bir şey
Stimmt,Doğru
Menge,Kalabalık
keiner,hiçbiri
brauchst,ihtiyaç
Typen,Adam
Dass,O
Stunde,Saat
Szene,sahne
Hölle,cehennem
einige,bazı
Deshalb,Bu yüzden
geworden,haline gelmek
Telefon,telefon
Darf,Mayıs
Feuer,Ateş
Wollen,İstek
Bin,Ben
Alter,Eskimiş
Captain,Kaptan
Aus,Dışında
Dieses,Bu
Probleme,Sorun
Jeder,Herkes
verstanden,anlaşıldı
wann,Ne zaman
alten,eskimiş
gibt's,Var
sondern,yerine
guten,iyi
zwar,yani
eigenen,sahip olmak
New,Yeni
Körper,Vücut
hört,duymak
Zum,İçin
gebe,hediye
Kumpel,Dostum
Hund,Köpek
nochmal,Tekrar
hab's,anladım
früh,erken
Hören,Duymak
trinken,içmek
besten,en iyi
meines,bana ait
schaffen,yaratmak
alte,eskimiş
Luft,Hava
Jemand,Birisi
dürfen,mayıs
Meister,usta
Erde,Toprak
Seit,O zamandan beri
Sicher,güvenli
Hört,Duymak
Zukunft,Gelecek
kaum,neredeyse
funktioniert,işlevler
voll,tam dolu
Bleib,Kalmak
reicht,yeterli
weh,yara
stellen,yer
Siehst,Görmek
kleiner,daha küçük
großen,büyük
Waffen,silahlar
Büro,Ofis
Wahl,Seçenek
verlieren,kaybetmek
Wochen,Haftalar
Damit,Bununla
Stück,Parça
lieben,Aşk
allem,Tümü
getroffen,tanışmak
äh,uh
Am,-Den
geschafft,Tamamlandı
tue,Yapmak
gefallen,düşmüş
Tja,Kuyu
Boss,patron
überall,her yer
Sieht,Görüyor
passieren,olmak
lustig,eğlenceli
Licht,Işık
gebracht,getirilmiş
nennen,adına
Folge,Sonuçlar
Gefühl,His
völlig,tamamen
denkt,düşünüyor
Schlüssel,Anahtar
drüben,o tarafta
Richtig,Doğru
wieso,nasıl olur
Leuten,İnsanlar
Buch,Kitap
laufen,koşmak
spielt,oyunlar
früher,daha erken
Sein,Olmak
krank,hasta
gegangen,gitmiş
fand,kurmak
Seine,Onun
Pass,pasaport
fühle,hissetmek
Himmel,Cennet
froh,memnun
leicht,ışık
direkt,yönlendirmek
langsam,yavaş
wolltest,aranan
erinnern,Unutma
zuerst,Birinci
Krankenhaus,hastane
Viel,Fazla
beste,en iyi
welche,Hangi
genommen,alınmış
Arzt,Doktor
unserem,bizim
Idiot,salak
Machen,Yapmak
glaubst,inanmak
jede,Her
Ohne,Olmadan
groß,büyük
hattest,nefret
Äh,Uh
Jungen,Erkekler
Rest,dinlenmek
Unsere,Bizim
versuche,denemek
Tagen,Günler
nächste,Sonraki
Entschuldigen,Mazeret
Doktor,doktor
spricht,Konuşuyor
könnt,olabilmek
hält,tutar
Team,takım
Verstanden,Anlaşıldı
kämpfen,savaş
heiraten,evlenmek
könntest,belki
Wow,Vay
Etwas,Bir şey
Straße,Sokak
Mist,Lanet etmek
König,kral
redest,konuşma
kleines,küçük
lebt,hayatları
erklären,açıklamak
worden,gitmiş
Millionen,milyonlarca
Wiedersehen,Yeniden bir araya gelmek
Onkel,Amca
kennst,Bilmek
sitzen,oturmak
dies,Bu
weniger,daha az
Kaffee,Kahve
ernst,cidden
wollt,istek
tragen,taşımak
Zeug,Şeyler
trotzdem,ona rağmen
Ihren,Senin
kaufen,satın almak
Liste,liste
ändern,değiştirmek
Kampf,Savaş
hasse,nefret
Person,kişi
Mund,ağız
umbringen,öldürmek
Präsident,başkan
Boden,Zemin
Wohin,Nerede
machte,yapılmış
Party,Parti
gefragt,diye sordu
Seht,Bakmak
irgendwo,bir yerde
kümmern,Dikkatli ol
kennt,bilir
verletzt,yaralı
Habt,Sahip olmak
Nachricht,Haberler
Willkommen,Hoş geldin
vielen,birçok
hart,zor
lasse,izin vermek
total,Toplam
Gefängnis,Hapishane
außer,hariç
Sicherheit,Güvenlik
Schnell,Hızlı
wem,kime
ehrlich,dürüst
interessiert,ilgili
Sex,seks
sagten,söz konusu
ziehen,çekmek
Welche,Hangi
Unser,Bizim
Augenblick,an
angerufen,isminde
aufhören,durmak
Klasse,Sınıf
Bild,Resim
stark,güçlü
Dies,Bu
Eure,Senin
zehn,on
Sinn,algı
vorstellen,tanıtmak
Traum,Rüya
länger,uzun
manchmal,Bazen
anrufen,Arama
sechs,altı
Arschloch,Pislik
sollst,tam
gestorben,ölü
Tages,Gün
war's,Öylemiydi
verschwinden,yok olmak
Kraft,Güç
gesprochen,konuşulmuş
heraus,buradan
genauso,tıpkı
wärst,olmak
Eins,Bir
damals,o zaman
heißen,olarak adlandırılabilir
Liebling,Canım
wahrscheinlich,muhtemelen
deshalb,bu yüzden
Stelle,İş
halt,durmak
erwartet,beklenen
solche,çok
meisten,en
bringe,getirmek
still,sessizlik
umgebracht,öldürülmüş
Stimme,Kabul etmek
General,genel
Geben,Vermek
Entschuldige,Üzgünüm
Vergiss,Unutkan
rede,konuşma
führen,yol göstermek
Bewegung,Hareket
höre,Dinlemek
Sonst,Aksi takdirde
Geschäft,İşletme
werdet,haline gelmek
konnten,abilir
wartet,beklemek
Raus,Dışarı